timestamp,latency_ms,jitter_ms
2025-11-13T09:45:04.601713,15.828,21.574641827849657
2025-11-13T09:50:04.263730,8.958,1.5020219705450384
2025-11-13T09:55:03.912029,6.566,0.6985198637118346
2025-11-13T10:00:04.560141,6.67,1.1049886877249016
2025-11-13T10:05:04.199493,7.295999999999999,0.7707982874916105
2025-11-13T10:10:03.852070,7.052,0.8707295791461318
2025-11-13T10:15:04.499354,6.436,0.7557314337778995
2025-11-13T10:20:04.193195,6.85,1.2311579914860646
2025-11-13T14:00:04.624456,6.994,0.26819768828235635
2025-11-13T14:05:04.275616,6.794,1.3755289891529006
2025-11-13T14:10:03.925717,5.984,0.898821450567353
2025-11-13T14:15:04.574012,6.622,0.589762664128546
